Firstname;Lastname;Gender;Martial_Status;Nationality;Security_ID;Email;Phone;City;Postcode;Address;Password;Booking_Date;Move_in_Date;Shared_2h_House;Shared_3h_House;Family_1h_House;Family_2h_House;Budget_Min;Budget_Max;Building_A;Building_B;Building_C;Building_D;Building_E;Building_F
Thy;Khuu;Male;Single;Vietnam;210594-2297;bachthy94@gmail.com;+358 466817209;Kokkola;67100;Kustaa Adolfinkatu 1 a 6;bachthy20fc;;;;;;;;;;;;;;
Adams;Priffin;Male;Cohabitation;Australia;275890-3957;adams.prifti20@gmail.com;+84 842390979;Tokyo;67355;Karentiekatu 2;adams;10/12/2021;01/01/2022;x;x;;;220.0;300.0;x;x;x;x;;
Baker;Shehu;Male;Divorced;Austria;485920-5839;baker.shehu@gmail.com;+33 536609017;New York;34633;Varienkatu 1;bachthy20fc;;;;;;;;;;;;;;
Clark;Dervishi;Male;Maried;Azerbaijan;475878-3849;clark.dervishi@gmail.com;+12 240401649;Mexico City;23866;Josenerakatu 5;bachthy20fc;;;;;;;;;;;;;;
Davis;Bektashi;Male;Widow;Bahamas;127483-2846;davis.bektashi@gmail.com;+89 537237065;Mumbai;35244;Koydenpunojakatu 1;bachthy20fc;;;;;;;;;;;;;;
Evans;Begu;Male;Divorced;Bahrain;274856-2917;evans.begu@gmail.com;+84 533136895;S?o Paulo;98333;Vidsasinkatu 5;bachthy20fc;;;;;;;;;;;;;;
Frank;Gjoni;Male;Living apart;Bangladesh;183647-1938;frank.gjoni @gmail.com;+90 684318795;Tokyo;37311;Valenxera 1;bachthy20fc;;;;;;;;;;;;;;
Ghosh;Leka;Male;Single;Barbados;461817-3817;ghosh.leka@gmail.com;+381 772871598;New York;96343;Karentiekatu 2;bachthy20fc;;;;;;;;;;;;;;
Hills;Gjoni;Female;Cohabitation;Belarus;363818-9472;hills.gjoni@gmail.com;+384 862597453;Mexico City;23407;Varienkatu 1;bachthy20fc;;;;;;;;;;;;;;
Irwin;Murati;Female;Maried;Belgium;361826-2947;irwin.murati@gmail.com;+381 93587473;Mumbai;23555;Josenerakatu 5;bachthy20fc;;;;;;;;;;;;;;
Jones;Mehmeti;Female;Single;Belize;184618-2847;jones.mehmeti@gmail.com;+384 854078098;Sao Paulo;23866;Koydenpunojakatu 1;bachthy20fc;;;;;;;;;;;;;;
Klein;Hysi;Female;Single;Benin;373946-9927;klein.hysi@gmail.com;+23 899468701;Tokyo;35244;Vidsasinkatu 5;bachthy20fc;;;;;;;;;;;;;;
Lopez;Gjika;Male;Engaged;Bermuda;143847-9928;lopez.gjika@gmail.com;+38 44180348;New York;98333;Valenxera 1;bachthy20fc;;;;;;;;;;;;;;
Mason;Marku;Male;Single;Bhutan;354816-2947;mason.marku@gmail.com;+47 688167205;Mexico City;37311;Koydenpunojakatu 1;bachthy20fc;;;;;;;;;;;;;;
Nalty;Kola;Male;Cohabitation;Bolivia;143846-3974;nalty.kola@gmail.com;+19 528754519;Mumbai;96343;Vidsasinkatu 5;bachthy20fc;;;;;;;;;;;;;;
