Firstname;Lastname;Gender;Security_ID;Email;Phone;Move-in_Date;Budget_Min;Budget_Max;Type_House;Apartment;House;Room;Apartment_Address;Fee;
Adams;Priffin;Male;275890-3957;adams.prifti20@gmail.com;+84 842390979;01/02/2022;250.00.00;400.00.00;Shared_2h_House;Building A;20;1;Noradelinahausta 20 as 1;250;
;;;;;;;;;Shared_2h_House;Building A;20;2;Noradelinahausta 20 as 2;250;
;;;;;;;;;Shared_2h_House;Building A;21;1;Noradelinahausta 21 as 1;250;
;;;;;;;;;Shared_2h_House;Building A;21;2;Noradelinahausta 21 as 2;250;
;;;;;;;;;Shared_2h_House;Building A;22;1;Noradelinahausta 22 as 1;250;
;;;;;;;;;Shared_2h_House;Building A;22;2;Noradelinahausta 22 as 2;250;
;;;;;;;;;Shared_2h_House;Building A;23;1;Noradelinahausta 23 as 1;250;
;;;;;;;;;Shared_2h_House;Building A;23;2;Noradelinahausta 23 as 2;250;
;;;;;;;;;Shared_2h_House;Building A;24;1;Noradelinahausta 24 as 1;250;
;;;;;;;;;Shared_2h_House;Building A;24;2;Noradelinahausta 24 as 2;250;
;;;;;;;;;Shared_2h_House;Building A;25;1;Noradelinahausta 25 as 1;250;
;;;;;;;;;Shared_2h_House;Building A;25;2;Noradelinahausta 25 as 2;250;
;;;;;;;;;Shared_2h_House;Building A;26;1;Noradelinahausta 26 as 1;250;
;;;;;;;;;Shared_2h_House;Building A;26;2;Noradelinahausta 26 as 2;250;
;;;;;;;;;Shared_2h_House;Building A;27;1;Noradelinahausta 27 as 1;250;
;;;;;;;;;Shared_2h_House;Building A;27;2;Noradelinahausta 27 as 2;250;
;;;;;;;;;Shared_2h_House;Building A;28;1;Noradelinahausta 28 as 1;250;
;;;;;;;;;Shared_2h_House;Building A;28;2;Noradelinahausta 28 as 2;250;
;;;;;;;;;Shared_2h_House;Building A;29;1;Noradelinahausta 29 as 1;250;
;;;;;;;;;Shared_2h_House;Building A;29;2;Noradelinahausta 29 as 2;250;
;;;;;;;;;Shared_3h_House;Building A;10;1;Noradelinahausta 10 as 1;225;
;;;;;;;;;Shared_3h_House;Building A;10;2;Noradelinahausta 10 as 2;225;
;;;;;;;;;Shared_3h_House;Building A;10;3;Noradelinahausta 10 as 3;225;
;;;;;;;;;Shared_3h_House;Building A;11;1;Noradelinahausta 11 as 1;225;
;;;;;;;;;Shared_3h_House;Building A;11;2;Noradelinahausta 11 as 2;225;
;;;;;;;;;Shared_3h_House;Building A;11;3;Noradelinahausta 11 as 3;225;
;;;;;;;;;Shared_3h_House;Building A;12;1;Noradelinahausta 12 as 1;225;
;;;;;;;;;Shared_3h_House;Building A;12;2;Noradelinahausta 12 as 2;225;
;;;;;;;;;Shared_3h_House;Building A;12;3;Noradelinahausta 12 as 3;225;
;;;;;;;;;Shared_3h_House;Building A;13;1;Noradelinahausta 13 as 1;225;
;;;;;;;;;Shared_3h_House;Building A;13;2;Noradelinahausta 13 as 2;225;
;;;;;;;;;Shared_3h_House;Building A;13;3;Noradelinahausta 13 as 3;225;
;;;;;;;;;Shared_3h_House;Building A;14;1;Noradelinahausta 14 as 1;225;
;;;;;;;;;Shared_3h_House;Building A;14;2;Noradelinahausta 14 as 2;225;
;;;;;;;;;Shared_3h_House;Building A;14;3;Noradelinahausta 14 as 3;225;
;;;;;;;;;Shared_3h_House;Building A;15;1;Noradelinahausta 15 as 1;225;
;;;;;;;;;Shared_3h_House;Building A;15;2;Noradelinahausta 15 as 2;225;
;;;;;;;;;Shared_3h_House;Building A;15;3;Noradelinahausta 15 as 3;225;
;;;;;;;;;Shared_3h_House;Building A;16;1;Noradelinahausta 16 as 1;225;
;;;;;;;;;Shared_3h_House;Building A;16;2;Noradelinahausta 16 as 2;225;
;;;;;;;;;Shared_3h_House;Building A;16;3;Noradelinahausta 16 as 3;225;
;;;;;;;;;Shared_3h_House;Building A;17;1;Noradelinahausta 17 as 1;225;
;;;;;;;;;Shared_3h_House;Building A;17;2;Noradelinahausta 17 as 2;225;
;;;;;;;;;Shared_3h_House;Building A;17;3;Noradelinahausta 17 as 3;225;
;;;;;;;;;Shared_3h_House;Building A;18;1;Noradelinahausta 18 as 1;225;
;;;;;;;;;Shared_3h_House;Building A;18;2;Noradelinahausta 18 as 2;225;
;;;;;;;;;Shared_3h_House;Building A;18;3;Noradelinahausta 18 as 3;225;
;;;;;;;;;Shared_3h_House;Building A;19;1;Noradelinahausta 19 as 1;225;
;;;;;;;;;Shared_3h_House;Building A;19;2;Noradelinahausta 19 as 2;225;
;;;;;;;;;Shared_3h_House;Building A;19;3;Noradelinahausta 19 as 3;225;
;;;;;;;;;Family_1h_House;Building A;31;1;Noradelinahausta 31 as 1;370;
;;;;;;;;;Family_1h_House;Building A;32;1;Noradelinahausta 32 as 1;370;
;;;;;;;;;Family_1h_House;Building A;33;1;Noradelinahausta 33 as 1;370;
;;;;;;;;;Family_1h_House;Building A;34;1;Noradelinahausta 34 as 1;370;
;;;;;;;;;Family_1h_House;Building A;35;1;Noradelinahausta 35 as 1;370;
;;;;;;;;;Family_1h_House;Building A;36;1;Noradelinahausta 36 as 1;370;
;;;;;;;;;Family_1h_House;Building A;37;1;Noradelinahausta 37 as 1;370;
;;;;;;;;;Family_1h_House;Building A;38;1;Noradelinahausta 38 as 1;370;
;;;;;;;;;Family_1h_House;Building A;39;1;Noradelinahausta 39 as 1;370;
;;;;;;;;;Family_1h_House;Building A;40;1;Noradelinahausta 40 as 1;370;
;;;;;;;;;Family_2h_House;Building A;50;1;Noradelinahausta 50 as 1;460;
;;;;;;;;;Family_2h_House;Building A;50;2;Noradelinahausta 50 as 2;460;
;;;;;;;;;Family_2h_House;Building A;51;1;Noradelinahausta 51 as 1;460;
;;;;;;;;;Family_2h_House;Building A;51;2;Noradelinahausta 51 as 2;460;
;;;;;;;;;Family_2h_House;Building A;52;1;Noradelinahausta 52 as 1;460;
;;;;;;;;;Family_2h_House;Building A;52;2;Noradelinahausta 52 as 2;460;
;;;;;;;;;Family_2h_House;Building A;53;1;Noradelinahausta 53 as 1;460;
;;;;;;;;;Family_2h_House;Building A;53;2;Noradelinahausta 53 as 2;460;
;;;;;;;;;Family_2h_House;Building A;54;1;Noradelinahausta 54 as 1;460;
